lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,48-273,27.0,38.0,12.58918190001658,18.591656223646154,56.591656223646154,56.591656223646154,0.4885,SfccfF,focal_length
36-686,36-687,27.0,36.0,12.23823173215857,18.243246731120962,54.24324673112096,54.24324673112096,0.4745,SfccfF,focal_length
36-686,49-960,27.0,35.0,12.181069021760413,18.248356865150605,53.248356865150605,53.248356865150605,0.467,SfccfF,focal_length
LA4021,48-273,30.0,38.0,11.281162838882953,22.41971093976339,60.41971093976339,60.41971093976339,0.451,SfccfF,focal_length
36-686,LA4052,27.0,35.1,12.485269498461598,18.488077598609955,53.58807759860996,53.58807759860996,0.4325,SfccfF,focal_length
36-686,36-689,27.0,35.0,12.501811118700093,18.564975785674413,53.56497578567441,53.56497578567441,0.421,SfccfF,focal_length
LA4021,36-687,30.0,36.0,10.859669569395258,21.864313199427947,57.86431319942795,57.86431319942795,0.416,SfccfF,focal_length
49-959,48-273,30.0,38.0,14.084743951928216,20.687619293938788,58.68761929393879,58.68761929393879,0.4155,SfccfF,focal_length
49-959,36-687,30.0,36.0,13.690388576787065,20.21331718014759,56.21331718014759,56.21331718014759,0.4065,SfccfF,focal_length
LA4021,49-960,30.0,35.0,10.798553572827679,21.875564481698554,56.875564481698554,56.875564481698554,0.394,SfccfF,focal_length
LA4021,LA4052,30.0,35.1,11.139545318071942,22.265050800284236,57.36505080028424,57.36505080028424,0.3905,SfccfF,focal_length
49-959,49-960,30.0,35.0,13.602821016070354,20.141831420587017,55.14183142058702,55.14183142058702,0.384,SfccfF,focal_length
LA4021,36-689,30.0,35.0,11.146130827799755,22.261603673338705,57.261603673338705,57.261603673338705,0.373,SfccfF,focal_length
49-959,LA4052,30.0,35.1,13.927719856885709,20.481004743087603,55.581004743087604,55.581004743087604,0.3675,SfccfF,focal_length
49-959,36-689,30.0,35.0,13.962896858966888,20.51835133614017,55.51835133614017,55.51835133614017,0.3595,SfccfF,focal_length
36-686,49-959,27.0,30.0,11.722401110911242,18.009395757030113,48.00939575703011,48.00939575703011,0.358,SfccfF,focal_length
