lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
48-664,72-514,15.0,8.3,27.79546046589855,35.42420468919843,43.72420468919843,43.72420468919843,0.021285000000000002,SfccfF,focal_length
48-664,LA4021,15.0,30.0,27.18141698204679,29.759670428810978,45.792921991464546,45.792921991464546,0.017845,SfccfF,optimized
48-664,72-494,15.0,8.3,27.3444187534572,34.27240632166437,42.572406321664374,42.572406321664374,0.016125,SfccfF,focal_length
48-664,72-510,15.0,32.0,27.105227295233668,29.826723505143775,48.55136629180789,48.55136629180789,0.015050000000000001,SfccfF,optimized
48-664,72-490,15.0,32.0,27.22646380793048,29.7286319757539,48.614077243396125,48.614077243396125,0.015050000000000001,SfccfF,optimized
48-664,72-488,15.0,23.5,27.062163733376053,29.588798474551307,43.45779839346253,43.45779839346253,0.014835000000000001,SfccfF,optimized
48-664,72-516,15.0,29.5,27.44198817305153,30.067005187404646,46.46099177041433,46.46099177041433,0.014620000000000001,SfccfF,optimized
48-664,72-496,15.0,29.5,27.221075516425916,30.535365449328605,46.768067244221804,46.768067244221804,0.01247,SfccfF,optimized
48-664,72-508,15.0,23.5,27.111531684713537,29.75297074182321,43.62197065829936,43.62197065829936,0.011825,SfccfF,optimized
48-664,LA4194,15.0,20.1,27.050624337101414,29.632357631904263,40.37464370032852,40.37464370032852,0.011394999999999999,SfccfF,optimized
48-664,72-493,15.0,8.5,27.138806018651202,33.713356588651976,42.213356588651976,42.213356588651976,0.010964999999999999,SfccfF,focal_length
48-664,89-413,15.0,20.0,27.087076690012434,30.182362655904384,40.8712044881047,40.8712044881047,0.00989,SfccfF,optimized
48-664,72-513,15.0,8.5,28.010823544332148,34.51199687586488,43.01199687586488,43.01199687586488,0.00989,SfccfF,focal_length
48-664,89-414,15.0,25.0,27.71246783091095,30.49965701338327,43.07730423239307,43.07730423239307,0.00989,SfccfF,optimized
48-664,LA4002,15.0,25.0,27.087418489296425,29.611906067137316,42.41513605300823,42.41513605300823,0.009245,SfccfF,optimized
48-664,72-507,15.0,16.0,27.377353467238667,30.23449047317576,44.34595330988606,44.34595330988606,0.008815,SfccfF,optimized
48-664,89-412,15.0,15.0,27.772378928866377,30.541231941997452,39.3937876208238,39.3937876208238,0.0086,SfccfF,optimized
48-664,72-487,15.0,16.0,27.077094913324192,29.57807300158359,43.68953619578586,43.68953619578586,0.0086,SfccfF,optimized
48-664,LA4001,15.0,15.0,27.093155724239324,29.862838341761396,39.55131537060036,39.55131537060036,0.00817,SfccfF,optimized
48-664,72-489,15.0,21.6,27.236131051065136,29.738655819310164,48.76350418636441,48.76350418636441,0.007095000000000001,SfccfF,optimized
48-664,72-492,15.0,4.5,27.11948806178297,31.795345950559547,38.457459771853095,38.457459771853095,0.00645,SfccfF,optimized
48-664,72-512,15.0,4.5,27.10853096397029,31.57523121990772,37.82297805488172,37.82297805488172,0.004515,SfccfF,optimized
48-664,LA4039,15.0,9.0,27.28430316923917,30.00612024053924,36.63073837029514,36.63073837029514,0.004085,SfccfF,optimized
48-664,LA4280,15.0,10.0,27.073537221242717,29.906913541116857,37.26760035195674,37.26760035195674,0.004085,SfccfF,optimized
48-664,89-411,15.0,10.0,27.269610431761222,30.003179695079673,37.36386448593607,37.36386448593607,0.0038699999999999997,SfccfF,optimized
48-664,LA4026,15.0,6.0,27.043345124439174,30.4360634664883,36.4360634664883,36.4360634664883,0.00344,SfccfF,focal_length
48-664,72-503,15.0,8.0,27.040423676731482,29.859915178162456,37.85991517816245,37.85991517816245,0.00344,SfccfF,focal_length
48-664,72-509,15.0,21.6,27.078685531859662,29.692756786531998,48.74323071477793,48.74323071477793,0.00344,SfccfF,optimized
48-664,72-491,15.0,32.0,27.825887453430205,30.352268786794284,55.46777292850222,55.46777292850222,0.003225,SfccfF,optimized
48-664,84-882,15.0,12.0,27.10231378962302,29.86170352889015,38.694523794632076,38.694523794632076,0.00258,SfccfF,optimized
48-664,LA4036,15.0,6.0,27.424342300554507,30.169417966160417,36.16941796616042,36.16941796616042,0.002365,SfccfF,focal_length
48-664,LA4249,15.0,10.0,27.196278555671476,29.86435517478499,37.22504198562487,37.22504198562487,0.002365,SfccfF,optimized
48-664,72-483,15.0,8.0,28.510962376414152,31.162772770497845,39.162772770497845,39.162772770497845,0.0019349999999999999,SfccfF,focal_length
48-664,LA4024,15.0,4.0,27.078722727801072,30.086746352741795,34.0867463527418,34.0867463527418,0.00129,SfccfF,focal_length
48-664,LA4148,15.0,50.2,27.598663893605227,30.344128476343357,59.970667990470645,59.970667990470645,0.001075,SfccfF,optimized
48-664,72-511,15.0,32.0,27.02553801429476,30.621980681339885,58.84489999876643,58.84489999876643,0.000645,SfccfF,optimized
48-664,LA4003,15.0,35.0,27.140254360923084,29.872649475044753,55.63503393508683,55.63503393508683,0.00043,SfccfF,optimized
48-664,LA4022,15.0,60.0,27.54049898756577,30.196222326466767,74.36030650580109,74.36030650580109,0.00043,SfccfF,optimized
48-664,LA4327,15.0,75.3,27.232594720034648,30.2416419382658,78.87777160932635,78.87777160932635,0.00043,SfccfF,optimized
48-664,84-277,15.0,25.0,27.145292512410865,29.866979086805,54.866979086805,54.866979086805,0.000215,SfccfF,focal_length
48-664,LA4052,15.0,35.1,27.020073344856655,30.30094331459587,65.40094331459588,65.40094331459588,0.000215,SfccfF,focal_length
48-664,LA4464,15.0,60.2,27.30402156952129,29.833678972786686,90.03367897278669,90.03367897278669,0.000215,SfccfF,focal_length
48-664,LA4384,15.0,90.3,27.010115704669737,30.909450172911804,121.2094501729118,121.2094501729118,0.000215,SfccfF,focal_length
48-664,LA4545,15.0,100.0,27.14299501741803,30.190894104252024,130.19089410425204,130.19089410425204,0.000215,SfccfF,focal_length
48-664,84-285,15.0,120.0,27.066051469674356,29.703592280624946,149.70359228062495,149.70359228062495,0.000215,SfccfF,focal_length
48-664,84-278,15.0,30.0,27.14182012201167,29.750861106553344,59.750861106553344,59.750861106553344,0.0,SfccfF,focal_length
48-664,LA4130,15.0,40.1,27.02254818339845,29.52639069559556,69.62639069559556,69.62639069559556,0.0,SfccfF,focal_length
48-664,LA4306,15.0,40.1,27.070184819046148,29.847406225942265,69.94740622594227,69.94740622594227,0.0,SfccfF,focal_length
48-664,84-279,15.0,45.0,27.01972117026108,29.81031442918104,74.81031442918103,74.81031442918103,0.0,SfccfF,focal_length
48-664,84-282,15.0,50.0,27.050723162775345,29.671288928969048,79.67128892896905,79.67128892896905,0.0,SfccfF,focal_length
48-664,84-283,15.0,60.0,27.236177219544814,29.914364819110915,89.91436481911092,89.91436481911092,0.0,SfccfF,focal_length
48-664,84-280,15.0,60.0,27.275444517979384,30.05123124365032,90.05123124365032,90.05123124365032,0.0,SfccfF,focal_length
48-664,LA4042,15.0,60.0,27.016481169426648,30.264717680763837,90.26471768076384,90.26471768076384,0.0,SfccfF,focal_length
48-664,84-281,15.0,75.0,27.294774326887424,29.947198805582516,104.94719880558252,104.94719880558252,0.0,SfccfF,focal_length
48-664,LA4078,15.0,75.3,27.563088333777802,30.178700956856417,105.47870095685641,105.47870095685641,0.0,SfccfF,focal_length
48-664,84-284,15.0,90.0,28.39454168944573,30.928883801339595,120.9288838013396,120.9288838013396,0.0,SfccfF,focal_length
48-664,LA4380,15.0,100.3,27.532489707372555,30.035352814880397,130.3353528148804,130.3353528148804,0.0,SfccfF,focal_length
48-664,LA4236,15.0,125.4,27.080756059742512,29.580956760871914,154.98095676087192,154.98095676087192,0.0,SfccfF,focal_length
48-664,LA4043,15.0,125.0,27.288407905004515,30.056109575828287,155.0561095758283,155.0561095758283,0.0,SfccfF,focal_length
48-664,LA4033,15.0,125.0,29.224409848321407,32.0071064318584,157.0071064318584,157.0071064318584,0.0,SfccfF,focal_length
48-664,LA4372,15.0,150.5,27.041816235483363,29.58021128516515,180.08021128516515,180.08021128516515,0.0,SfccfF,focal_length
48-664,84-286,15.0,150.0,27.47257070265853,30.102201058924038,180.10220105892404,180.10220105892404,0.0,SfccfF,focal_length
48-664,LA4004,15.0,149.9,27.763058449279345,30.644469000992046,180.54446900099205,180.54446900099205,0.0,SfccfF,focal_length
48-664,70-891,15.0,150.0,28.156477136630798,30.713854348615172,180.71385434861517,180.71385434861517,0.0,SfccfF,focal_length
48-664,LA4034,15.0,175.0,27.392248557337716,30.307495337209787,205.3074953372098,205.3074953372098,0.0,SfccfF,focal_length
48-664,LA4005,15.0,175.0,27.24610453952892,30.31053202705769,205.3105320270577,205.3105320270577,0.0,SfccfF,focal_length
48-664,LA4006,15.0,200.0,27.202367564119758,29.839203647241504,229.8392036472415,229.8392036472415,0.0,SfccfF,focal_length
48-664,70-892,15.0,200.0,27.14247163058216,30.121287968575018,230.12128796857502,230.12128796857502,0.0,SfccfF,focal_length
48-664,LA4102,15.0,200.7,27.250774534090304,29.93065699877647,230.63065699877646,230.63065699877646,0.0,SfccfF,focal_length
48-664,LA4158,15.0,250.9,27.46148922423822,29.97697747472,280.87697747472,280.87697747472,0.0,SfccfF,focal_length
48-664,LA4538,15.0,250.9,27.23043490636251,30.007949910591776,280.9079499105918,280.9079499105918,0.0,SfccfF,focal_length
48-664,LA4007,15.0,250.0,27.956413166121408,32.12212252356494,282.12212252356494,282.12212252356494,0.0,SfccfF,focal_length
48-664,LA4008,15.0,300.0,27.216949983873253,29.83560039494506,329.83560039494506,329.83560039494506,0.0,SfccfF,focal_length
48-664,LA4009,15.0,350.0,27.06895061385198,29.714491079841878,379.7144910798419,379.7144910798419,0.0,SfccfF,focal_length
48-664,LA4035,15.0,350.0,27.246410886294147,29.88024169720245,379.88024169720245,379.88024169720245,0.0,SfccfF,focal_length
48-664,LA4023,15.0,350.0,27.851340135763273,30.73253991431801,380.732539914318,380.732539914318,0.0,SfccfF,focal_length
48-664,LA4025,15.0,400.0,27.076225287223547,29.73206309795819,429.7320630979582,429.7320630979582,0.0,SfccfF,focal_length
48-664,LA4010,15.0,400.0,27.80697575740051,30.49932159496393,430.49932159496393,430.49932159496393,0.0,SfccfF,focal_length
48-664,LA4037,15.0,400.0,28.09831667886693,30.660943217393196,430.6609432173932,430.6609432173932,0.0,SfccfF,focal_length
48-664,LA4038,15.0,450.0,27.096883260574756,29.615521868471888,479.6155218684719,479.6155218684719,0.0,SfccfF,focal_length
48-664,LA4027,15.0,450.0,27.703946756843003,30.298269151984528,480.2982691519845,480.2982691519845,0.0,SfccfF,focal_length
48-664,LA4011,15.0,449.9,27.471785159695784,31.920805899642914,481.8208058996429,481.8208058996429,0.0,SfccfF,focal_length
48-664,LA4012,15.0,500.0,28.200216622652942,31.277763715977585,531.2777637159776,531.2777637159776,0.0,SfccfF,focal_length
48-664,LA4246,15.0,501.8,27.061411283937215,29.58269566647118,531.3826956664711,531.3826956664711,0.0,SfccfF,focal_length
48-664,LA4184,15.0,501.8,29.34884280624341,31.89402491083763,533.6940249108377,533.6940249108377,0.0,SfccfF,focal_length
